index,full_date,Event,Location,Latitude,Longitude
1,8/23/2023,CM Dr. Nantasha Williams - 4th Back to Giveaway,"172-12 Linden Blvd, Jamaica, NY 11434",40.69190262,-73.77767177
2,1/2/2025,Community Board 10,163-15 Cross Bay Boulevard Howard Beach,40.65192558,-73.83778075
3,1/6/2025,Community Board 11 General Meeting,"203-05 32 Ave., Bayside 11361",40.77076265,-73.78653067
4,1/7/2025,111th Precinct Community Council Meeting,"4506 215 St., Bayside 11361",40.76023729,-73.76758706
5,1/7/2025,102 PCT Community Council Meeting,110-08 Jamaica Avenue NY 11418,40.6963813,-73.83766352
6,1/8/2025,QDA Mobile Office Bayside,"214-20 Northern Blvd Bayside, NY 11361",40.76022154,-73.76843862
7,1/9/2025,Community Board 5 General Meeting,"68-02 Metropolitan Ave., Middle Village",40.71169516,-73.88821991
8,1/10/2025,106th Precinct Community Council,"103-53 101st St, South Ozone Park, NY 11417",40.68217986,-73.83985338
9,1/11/2025,Happy Senior Center Elder Fraud Presentation,118-09 Sutter Avenue NY 11420.,40.67438262,-73.82015351
10,1/14/2025,103 Precicnt Community Council Meeting,"94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.70181399,-73.79600319
11,1/14/2025,Community Board 9 Monthly Meeting,Queens Borough Hall,40.71363624,-73.82820857
12,1/14/2025,Community Board 14 Meeting,3-33 Beach 90th St,40.58869727,-73.81533855
13,1/15/2025,101 Precinct Community Council Meeting,"1332 Central Ave, Far Rockaway, NY 11691",40.60694925,-73.75005544
14,1/15/2025,Community Board 8 Monthly Meeting,183-02 Union Turnpike in Fresh Meadows,40.72766663,-73.7851104
15,1/15/2025,QDA Mobile Office Briarwood,"85-12 Main Street, Briarwood, NY 11435",40.71010542,-73.81950213
16,1/15/2025,Community Board 12 Meeting,172-17 Linden Blvd St. Albans 11412,40.69232907,-73.7775818
17,1/16/2025,Community Board 3 Meeting,"100-01 Northern Blvd., 11368,",40.75753384,-73.86821437
18,1/16/2025,116 Precinct Community Council Meeting,"244-04 N Conduit Ave, Jamaica, NY 11422",40.66646092,-73.73346173
19,1/18/2025,First Baptist Church Dream Luncheon,"100-10 Astoria Blvd, East Elmhaurst NY 11369",40.76162206,-73.8687368
20,1/20/2025,Senator Leroy Comrie�s MLK Day of Service Event 2025,"153-10 Jamaica Avenue, Queens",40.70251621,-73.80175814
21,1/21/2025,115 Precinct Council Meeting,"92-15 Northern Blvd, Jackson Heights, NY 11372",40.75674512,-73.87565085
22,1/22/2025,Elder Fraud Presentation QPL Long Island City,"37-44 21st Street, Long Island City",40.7577596,-73.93918688
23,1/23/2025,Elder Fraud Presentation at Elmhurst Older Adults Center,"7501 Broadway, Elmhurst 11373",40.74624059,-73.89004477
24,1/26/2025,Calvary Baptist Church Sunday Service,111-10 Guy R. Brewer Blvd. Jamaica NY 11433,40.69154166,-73.78782046
25,1/26/2025,Greater Allen Cathedral AME Church Worship Service,110-31 Floyd H. Flke Blvd. Jamaica NY 11433,40.69486728,-73.78133792
26,1/26/2025,Macedonia Baptist Church Worship Service,330 Beach 67 Street Arverne,40.5919909,-73.79571094
27,1/26/2025,Senator John Liu & REACH Lunar New Year Celebration,"3501 Union St., Flushing",40.76488913,-73.82776671
28,1/28/2025,107 PCT Community Council Meeting,"71-01 Parsons Blvd , Fresh Meadows NY 11365",40.73012493,-73.81073991
29,1/28/2025,Howard Beach Lindenwood Civic Association,83-09 157 Avenue in Howard Beach,40.66140303,-73.84987404
30,1/28/2025,Rosedale Civic Association,"247-11 Francis Lewis Blvd, Rosedale, NY 11422",40.66368231,-73.73365488
31,1/29/2025,105 Precinct Community Council Meeting,"92-08 222 Street, Queens Village, NY 11428",40.7263318,-73.73504385
32,1/29/2025,100 Precint Community Council,3-33 Beach 90th St,40.58869727,-73.81533855
33,1/30/2025,QCSC Criminal Term Equal Justice Committee Lunar New Year Celebration,Queens Supreme Courte � Criminal Term  Room 190,40.71346048,-73.82745977
34,1/31/2025,Flyer Drop Off at Queens Public Library at Rochdale,"169-09 137th Ave, Jamaica, NY 11434",40.67284495,-73.77059278
35,2/1/2025,Governor Hochul's Lunar New Year Celebration,"136-17 39th Ave, Flushing, NY 11354",40.76049424,-73.82969264
36,2/4/2025,111th Precinct Community Council Meeting,"4506 215 St., Bayside",40.76023729,-73.76758706
37,2/4/2025,102 PCT Community Council Meeting,110-08 Jamaica Avenue NY 11418,40.6963813,-73.83766352
38,2/5/2025,"Our Neighbors Civic Association of Ozone Park, Inc","101-18, 101st Avenue, Ozone Park NY 11416",40.68552281,-73.84087691
39,2/6/2025,Community Board 10 Meeting,163-15 Cross Bay Boulevard in Howard Beach 11414,40.65192558,-73.83778075
40,2/7/2025,AM Larinda Hooks's Inauguration Ceremony,Queens Museum,40.74582631,-73.84674539
41,2/9/2025,QJCC Legislative Breakfast,"8310 188 St., Jamaica Estates",40.72455069,-73.77908384
42,2/11/2025,103rd Precinct Meeting,"94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.70181399,-73.79600319
43,2/11/2025,Community Board 9 Monthly Meeting,Queens Borough Hall,40.71363624,-73.82820857
44,2/11/2025,Woodside Houses Resident Association,"50-37 Broadway, Woodside, NY 11377",40.75513118,-73.90957995
45,2/11/2025,Community Board 14 Meeting,330 Beach 98 Street Rockaway Beach 11693,40.58869727,-73.81533855
46,2/12/2025,Community Board 8 Monthly Meeting,183-02 Union Turnpike in Fresh Meadows,40.72766663,-73.7851104
47,2/12/2025,Community Board 5 General Meeting,"6802 Metropolitan Ave., Middle Village",40.71169516,-73.88821991
48,2/13/2025,Queens Public Library at Rochdale,"169-09 137th Ave, Jamaica, NY 11434",40.67284495,-73.77059278
49,2/14/2025,Drop off flyers at Bay Terrace Library,"18-36 Bell Blvd. Bayside, NY 11360",40.78250175,-73.777097
50,2/16/2025,Community Event Gurdwara Sikh Cultural Society,"9530 118th Street, South Richmond Hill, NY 11419",40.69099497,-73.82825404
51,2/18/2025,104th Precinct Community Council Meeting,"6605 79th Place, Middle Village",40.71571344,-73.87294774
52,2/19/2025,QDA Black History Month Program,172-17 Linden Blvd St. Albans 11412,40.69232907,-73.7775818
53,2/20/2025,Elder Fraud Presentation at Queens Center for Gay Seniors,"37-06 77 St., Jackson Heights",40.74898833,-73.88932465
54,2/20/2025,Community Board 3 Meeting,"35-59 81st Street, 11372, Jackson Heights",40.74995917,-73.8851664
55,2/24/2025,Alvista Towers Tenant Association,"147-36 94th ave Jamaica , NY 11435",40.69911742,-73.8056087
56,2/25/2025,107 pct Community Council Meeting,"71-01 Parsons Blvd , Fresh Meadows NY 11365",40.73012493,-73.81073991
57,2/25/2025,Howard Beach Lindenwood Civic Association Meeting,"83-09 157th Ave, Howard Beach, NY 11414",40.66140303,-73.84987404
58,2/25/2025,Rosedale Civic Association,"247-11 Francis Lewis Blvd, Rosedale, NY 11422",40.66368231,-73.73365488
59,2/25/2025,NY Board of Rabbis Hosts Queens Community Network,"183-02 Union Turnpike, Fresh Meadows",40.72767697,-73.78525935
60,2/25/2025,Queens Center for Progress 75th Anniversary,52-11 111th Street Corona NY 11368,40.74422824,-73.85081751
61,2/26/2025,St. Pats for All Parade Fundraising Event,73-16 Northern Blvd. Jackson Heights NY,40.75460278,-73.89310973
62,2/26/2025,Jewish Link Bar Mitzvah Celebration and Networking Event,"8310 188 St., Hollis",40.72455069,-73.77908384
63,2/26/2025,100 Precent Community Council Meeting,330 Beach 90 Street Rockaway Beach,40.58869727,-73.81533855
64,2/26/2025,PSA 9 Precinct Community Council Meeting,"67-09 Kissena Blvd., Flushing, NY 11367",40.7351702,-73.81409095
65,2/26/2025,105th Precinct Council Meeting,"92-08 222nd Street, Queens Village, NY, 11428-1474",40.7263318,-73.73504385
66,2/27/2025,116th Precinct Council Meeting,"244-04 North Conduit Avenue, Jamaica, NY 11422",40.66646092,-73.73346173
67,2/27/2025,Queens Public Library Bay Terrace,"18-36 Bell Blvd. Bayside, NY 11360",40.78249825,-73.77710057
68,2/27/2025,QBP North Queens Town Hall,"222-05 56 Ave., Bayside",40.75579541,-73.75681923
69,2/28/2025,BROOKLYN DIOCESE IMMIGRATION UPDATE,7200 Dougaston Pkway Douglaston 11362,40.74684215,-73.73373113
70,3/1/2025,Queens County St. Patrick's Day Parade,Kickoff at 129 Street and Newport Avenue in Belle Harbor 11694,40.57786254,-73.84913287
71,3/1/2025,Forest Hills Jewish Center Dinner Dance,"106-06 Queens Blvd., Forest Hills",40.72194934,-73.84732273
72,3/2/2025,St. Pat's For all Parade,43rd street & Skillman Ave,40.74689397,-73.92083822
73,3/3/2025,Community Board 11 Monthly Meeting,"20305 32 Ave., Bayside",40.77076265,-73.78653067
